PROPUESTA PERIODO: ENERO-MAYO 2025,,,,,,CONSIDERACIONES ,,HORARIO,,,,,
MODALIDAD ,ASIGNATURAS,CREDITOS ,GRUPO,SALA,DOCENTE,DINAMICA,NOTAS ,LUNES ,MARTES ,MIERCOLES ,JUEVES,VIERNES,SABADO 
OBLIGATORIA ,Desarrollo y sistematización del trabajo de campo en investigación ,,C,14/online,YANNING C.,Martes presencial y jueves online,1 antecedente: Manejo de diseños y herramientas en investigación,,10:00-12:00,,10:00-12:00,,
OBLIGATORIA ,Desarrollo y sistematización del trabajo de campo en investigación ,6 ,X,(SUM),CONCHY C.,Martes presencial y jueves online,1 antecedente: Manejo de diseños y herramientas en investigación,,10:00-12:00,,10:00-12:00,,
OBLIGATORIA ,Cambio y Aprendizaje Organizacional ,7 ,A,8/plataforma,LUPITA C.,Lunes presencial y viernes trabajo en plataforma (sin sesión directa),"3 antecedentes: Dinámicas y técnicas grupales, Psicologpia, organizaciones y trabajo, Aprendizaje",10:00-12:00,,,,19:00- 21:00,
OBLIGATORIA ,Cambio y Aprendizaje Organizacional ,7 ,B,17/plataforma,LUPITA C.,Lunes presencial y sábado trabajo en plataforma (sin sesión directa),"3 antecedentes: Dinámicas y técnicas grupales, Psicologpia, organizaciones y trabajo, Aprendizaje",12:00-14:00,,,,,20:00-22:00
OBLIGATORIA ,Cambio y Aprendizaje Organizacional ,7 ,C,8/plataforma,NICTE G.,Viernes presencial y sábado plataforma (sin sesión directa),"3 antecedentes: Dinámicas y técnicas grupales, Psicologpia, organizaciones y trabajo, Aprendizaje",,,,,8:00-10:00,20:00-22:00
OBLIGATORIA ,Cambio y Aprendizaje Organizacional ,7 ,D,14/plataforma ,NICTE G.,Miércoles presencial y viernes trabajo en plataforma (sin sesión directa),"3 antecedentes: Dinámicas y técnicas grupales, Psicologpia, organizaciones y trabajo, Aprendizaje",,,8:00-10:00,,19:00- 21:00,
OBLIGATORIA ,Modelos de intervención en psicología clínica   ,6 ,A,SUM,RICARDO G.,Lunes y miércoles presencial,1 antecedente: Habilidades clinicas básicas del psicólogo,12:00-14:00,,12:00-14:00,,,
OBLIGATORIA ,Modelos de intervención en psicología clínica   ,6 ,B,SUM,MANUEL S.,Lunes y miércoles presencial,1 antecedente: Habilidades clinicas básicas del psicólogo,12:00-14:00,,12:00-14:00,,,
OBLIGATORIA ,Modelos de intervención en psicología clínica   ,6 ,C,SUM,ESTRELLA V.,Lunes y miércoles presencial,1 antecedente: Habilidades clinicas básicas del psicólogo,12:00-14:00,,12:00-14:00,,,
OBLIGATORIA ,Modelos de intervención en psicología clínica   ,6 ,D,SUM,SILVIA A.,Lunes y miércoles presencial,1 antecedente: Habilidades clinicas básicas del psicólogo,12:00-14:00,,12:00-14:00,,,
OBLIGATORIA ,Procesos comunitarios ,6 ,A,18,EDER T.,Martes y jueves presencial,1 antecedente: Procesos psicosociales grupales,,8:00-10:00,,8:00-10:00,,
OBLIGATORIA ,Procesos comunitarios ,6 ,B,SUM,CONCHY C.,Sábado presencial de corrido,1 antecedente: Procesos psicosociales grupales,,,,,,9:00- 13:00
OBLIGATORIA ,Procesos comunitarios ,6 ,C,14,EDER T.,Lunes y miércoles presencial,1 antecedente: Procesos psicosociales grupales,14:00-16:00,,14:00-16:00,,,
OBLIGATORIA ,Procesos comunitarios ,6 ,D,16,TANIA,Viernes presencial de corrido,1 antecedente: Procesos psicosociales grupales,,,,,,10:00- 14:00
OBLIGATORIA ,Evaluación socioemocional y de la personalidad ,6 ,A,9/plataforma,PERLA M.,Miercoles presencial y sábado trabajo en plataforma (sin sesión directa),1 antecedente: Evaluación de inteligencia y habilidades cognitivas,,,8:00-10:00,,,7:00- 9:00
OBLIGATORIA ,Evaluación socioemocional y de la personalidad ,6 ,B,16,ESTRELLA V.,Lunes y miércoles presencial,1 antecedente: Evaluación de inteligencia y habilidades cognitivas,10:00-12:00,,10:00-12:00,,,
OBLIGATORIA ,Evaluación socioemocional y de la personalidad ,6 ,C,7/plataforma,PAULINA C.,Miercoles presencial y viernes trabajo en plataforma (sin sesión directa),1 antecedente: Evaluación de inteligencia y habilidades cognitivas,,,12:00-14:00,,20:00-22:00,
OBLIGATORIA ,Construcción de instrumentos en psicología   ,6 ,A,15/online,MIRTA F.,Martes presencial y jueves online,1 antecedente: Psicometría,,12:00-14:00,,12:00-14:00,,
OBLIGATORIA ,Construcción de instrumentos en psicología   ,6 ,B,14/online,MIRTA F.,Martes presencial y jueves online,1 antecedente: Psicometría,,8:00-10:00,,8:00-10:00,,
OBLIGATORIA ,Construcción de instrumentos en psicología   ,6 ,C,8/online,RICARDO E.,Miércoles presencial y viernes online,1 antecedente: Psicometría,,,14:00-16:00,,14:00- 16:00,
OBLIGATORIA ,Construcción de instrumentos en psicología   ,6 ,D,13/online,RICARDO E.,Miércoles presencial y viernes online,1 antecedente: Psicometría,,,10:00- 12:00,,10:00-12:00,
OBLIGATORIA ,Difusión y divulgación de Investigación en Psicología   ,,A,11/online,LOURDES P.,Martes presencial y jueves online,1 antecedente: Desarrollo y sistematización del trabajo de campo en investigación,,10:00-12:00,,10:00-12:00,,
